Polish ,Korean (human translations) - (Lara),Korean alternate (human translations) - Austin,Korean Formal (human translations),Korean Informal (human translations),"Korean Machine Translations (""model name"") - Sabina",Formality,Korean Machine Translations (OpenNMT) - Lara,Formality,Korean Machine Translations (Yandex.Translate) - Austin,Formality,English,Sentence Structure,Topic Type,Source (if applicable),,,,,
"Muszę skończyć pracę, a potem możemy iść na zakupy.","나는 일을 끝내야해, 그 다음에 같이 장을 보러 갈 수 있어 ",,저는 일을 끝내고나서 같이 장을 보러 갈 수 있습니다.,"나는 일을 끝내야해, 그 다음에 같이 장을 보러 갈 수 있어.",나는 일을 끝내고 나서 쇼핑을 할 수 있습니다.,Formal,나는 나의 일을 끝내고 그 후에 우리는 살 수 있습니다.,Formal,"나는 일을 끝내야하고,우리는 쇼핑을 갈 수 있습니다.",Formal,"I need to finish my work, then we can go shopping / get groceries.",Compound,Conversational / Everyday Phrases,,,,Expressions,50,50
Upiekła dla nas ciasto dyniowe.,그녀는 우리를 위해 호박파이를 구워줬어. ,,그녀는 우리를 위해 호박파이를 구워줬습니다.,그녀는 우리를 위해 호박파이를 구워줬어.,우리에게 콩나물 케이크가 쏟아졌다.,Informal,그녀는 침대로 갈 수 있었다.,Formal,그녀는 우리를 위해 호박 파이를 구웠다.,Informal,She baked a pumpkin pie for us.,Simple,Conversational / Everyday Phrases,,,,,,
Te ciasto było pyszne.,파이가 맛있었어. ,,이 파이가 맛있었습니다.,파이가 맛있었어.,이 케이크는 맛있었습니다.,Formal,이것은 먼지였다.,Formal,이 케이크는 맛있었습니다.,Formal,The pie was delicious.,Simple,Conversational / Everyday Phrases,,,,,,
"Mój telefon jest prawie rozładowany, potrzebuję ładowarki.","내 핸드폰 베터리가 거의 다 닳았어, 나는 충전기가 필요해. ",,제 핸드폰 베터리가 거의 다 닳아서 충전기가 필요합니다.,"내 핸드폰 베터리가 거의 다 닳았어, 나는 충전기가 필요해.","내 휴대폰은 거의 충전되고, 나는 충전기가 필요합니다.",Formal,"전화는 거의 실망하고, 그것은 dowry를 필요로 합니다.",Formal,"내 전화는 거의 비어,나는 충전기가 필요합니다.",Formal,"My phone is almost dead, I need a charger.",Compound,Conversational / Everyday Phrases,,,,Conversational / Everyday Expressions,150,150
Upadłam i nie mogę się podnieść.,"나는 넘어젔어, 그리고 일어나지 못하겠어.",,"저는 넘어젔습니다, 그리고 일어나지 못하겠습니다.","나는 넘어젔어, 그리고 일어나지 못하겠어.",나는 떨어져서 일어날 수 없었다.,Informal,나는 떨어졌고 나는 항복 할 수 없었다.,Informal,나는 넘어졌고 나는 일어날 수 없다.,Informal,"I've fallen, and I can't get up.",Compound,Conversational / Everyday Phrases,,,,Politics,60,60
"Nie chcę iść na imprezę, ponieważ jestem zbyt zmęczona.","나는 파티를 가고싶지 않아, 너무 피곤해서. ",,"저는 파티를 가고싶지 않습니다, 너무 피곤해서.","나는 파티를 가고싶지 않아, 너무 피곤해서.",나는 너무 피곤하기 때문에 파티에 가고 싶지 않다.,Informal,나는 너무 피곤하기 때문에 이벤트에 참석하지 않습니다.,Formal,나는 너무 피곤하기 때문에 파티에 가고 싶지 않다.,Informal,I don't want to go to the party because I am too tired.,Compound,Conversational / Everyday Phrases,,,,Sports,60,60
"Kiedyś tam mieszkałem, ale przeprowadziłem się do miasta, gdzie jest więcej pracy.","거기에 살았었는데, 일거리가 더 많은 도시로 이사갔어.",,"저는 거기에 살았었는데, 일거리가 더 많은 도시로 이사갔습니다.","거기에 살았었는데, 일거리가 더 많은 도시로 이사갔어.",나는 한때 거기에 살았지만 더 많은 일자리가있는 도시로 이사했습니다.,Formal,"그녀가 거기에 살 때, 그녀는 그녀가 더 많은 일을하는 도시로 이동.",Formal,"저는 그곳에 살곤 했지만,더 많은 일이 있는 도시로 이사했습니다.",Formal,"I used to live there, but I moved to the city where there is more work / job opportunities.",Compound Complex,Conversational / Everyday Phrases,,,,Business,60,60
Następnym razem nie dzwoń do mnie.,다음에는 나 전화하지 마. ,,다음에는 전화하지 마세요.,다음에는 나 전화하지 마.,다음번에는 전화를 걸지 마세요.,Formal,나는 나를 모른다.,Informal,다음번에는 전화하지 마세요.,Formal,"Next time, don't call me.",Simple,Conversational / Everyday Phrases,,,,Health & Wellness,60,60
Zostawiam cię dla kogoś innego.,나는 다른 사람을 위해 너를 떠날거야. ,,저는 다른 사람을 위해 당신을 떠날겁니다.,나는 다른 사람을 위해 너를 떠날거야.,나는 다른 사람을 위해 당신을 떠난다.,Informal,나는 다른 사람에게 갈거야.,Informal,나는 다른 사람을 위해 당신을 떠날 것입니다.,Formal,I'm leaving you for someone else.,Simple,Conversational / Everyday Phrases,,,,Food & Cuisine,50,50
"Założyłam kurtkę, bo na dworze było zimno.",나는 밖이 추워서 재킷을 입었어. ,,저는 밖이 추워서 재킷을 입었습니다.,나는 밖이 추워서 재킷을 입었어.,내 재킷은 차가운 곳이었기 때문이다.,Informal,나는 추워했기 때문에 커트를 넣어.,Informal,외부가 추웠기 때문에 재킷을 입었다.,Informal,I wore a jacket because it was cold outside.,Complex,Conversational / Everyday Phrases,,,,Travel,60,60
"Plaża była pełna ludzi, więc zamiast tego poszliśmy na lody.",해변은 사람들로 가득 차서 우리는 대신 아이스크림을 사러 갔다.,,해변은 사람들로 가득 차서 저는 대신 아이스크림을 사러 갔습니다.,해변은 사람들로 가득 차서 우리는 대신 아이스크림을 사러 갔다.,해변은 사람들로 가득 차 있었으므로 대신 얼음에 갔습니다.,Formal,"그것은 사람들의 가득, 그래서 그는 얼음에 갈 수 없었다.",Formal,"해변은 사람들로 가득했다,그래서 우리는 아이스크림 대신 갔다.",Informal,The beach was full of people so we went to get ice cream instead.,Compound,Conversational / Everyday Phrases,,,,,,
"Gdybyś mnie wcześniej poinformował, że nie możesz przyjść, to bym cię nie czekał. ","만약 미리 못 온다고 말해줬더라면, 나 너 기다리지 않았을텐데.",,"만약 미리 못 온다고 말해줬더라면, 저는 당신을 기다리지 않았을텐데.","만약 미리 못 온다고 말해줬더라면, 나 너 기다리지 않았을텐데.","만약 당신이 나에게 당신이 오지 못한다고 말한다면, 나는 당신을 기다리지 않을 것입니다.",Formal,"내가 올 수 없을 때, 나는 기다릴 수 없었다.",Formal,"당신이 올 수 없다는 것을 미리 알려 주었다면,나는 당신을 기다리지 않았을 것입니다.",Formal,"If you had informed me earlier that you couldn't come, I wouldn't have waited for you.",Compound Complex,Conversational / Everyday Phrases,,,,,,
"Buty nie pasowały tak dobrze, jak myślałem.",신발이 생각보다 잘 안맞았어. ,,신발이 생각보다 잘 안맞았습니다.,신발이 생각보다 잘 안맞았어.,신발은 내가 생각했던 것처럼 잘 어울리지 않았다.,Informal,그러나 내가 생각하지 않았다.,Informal,신발은 내가 생각했던 만큼 잘 어울리지 않았다.,Informal,The shoes didn't fit as well as I thought it would.,Complex,Conversational / Everyday Phrases,,,,,,
"Nie wiedziałem, że dzisiaj jest święto, więc poszedłem do pracy, ale potem zdałem sobie sprawę, że wszyscy mają wolne.","오늘이 휴일이라는 걸 몰랐어. 그래서 일하러 갔는데, 다들 쉬고 있어서 알게 됐어.",,"오늘이 휴일이라는 걸 몰랐기 때문에 일하러 갔는데, 다들 쉬고 있어서 알게 됐습니다.","오늘이 휴일이라는 걸 몰랐어. 그래서 일하러 갔는데, 다들 쉬고 있어서 알게 됐어.",나는 오늘이 축제라는 것을 알지 못했으므로 일하러 갔지만 나중에 모든 사람들이 자유롭다는 것을 깨달았습니다.,Formal,"나는 오늘 날, 그래서 나는 일을 갔다, 그러나 나중에 모든 사람이 무료로 그 실현.",Informal,"오늘 휴일인 줄 몰라서 일하러 갔지만,모두가 쉬는 날이 있다는 걸 깨달았어요.",Formal,"I didn't know that today was a holiday, so I went to work, but then I realized that everyone had the day off.",Compound Complex,Conversational / Everyday Phrases,,Topics:,,,,
"Uczyłem się pilnie do egzaminu śródsemestralnego, ale ostatecznie dostałem złą ocenę.",나는 중간고사를 위해 열심히 공부했지만 결국 나쁜 성적을 받았어.,,저는 중간고사를 위해 열심히 공부했지만 결국 나쁜 성적을 받았습니다.,나는 중간고사를 위해 열심히 공부했지만 결국 나쁜 성적을 받았어.,나는 급하게 중간 시험에 가르쳤지만 결국 나쁜 평가를 받았습니다.,Formal,그는 파일럿의 검사를 공부했지만 결국 리뷰를 받았습니다.,Formal,"나는 중간 시험을 위해 열심히 공부,하지만 결국 나는 나쁜 성적을 얻었다.",Informal,I studied hard for my midterm exam but I ended up getting a bad grade.,Complex,Conversational / Everyday Phrases,,Conversational,100,,,
"Jeśli chcesz wziąć udział w konkursie, musisz przeczytać regulamin, zapisać się i wysłać zgłoszenie do końca tygodnia.","대회에 참가하고 싶으면 규칙을 읽고, 등록하고, 이번 주 끝까지 작품을 제출해야 해.",,"대회에 참가하고 싶으면 규칙을 읽고, 등록하고, 이번 주 끝까지 작품을 제출해야 합니다.","대회에 참가하고 싶으면 규칙을 읽고, 등록하고, 이번 주 끝까지 작품을 제출해야 해.",대회에 참여하고 싶다면 규칙을 읽고 일주일이 끝날 때까지 등록하고 신청서를 보내야합니다.,Formal,"대회에 참여하려는 경우, 규정을 읽고, 주말까지 보고서를 작성하고 듣고해야합니다.",Formal,"대회에 참가하려면 규칙을 읽고,등록하고,일주일 말까지 신청서를 제출해야 합니다.",Formal,"If you want to participate in the contest, you need to read the rules, sign up, and submit your entry by the end of the week.",Compound Complex,Conversational / Everyday Phrases,,Sports,50,,,
"Nie smakowało mi moje jedzenie, więc zamówiłem coś innego.",나는 음식이 마음에 들지 않아서 다른 것을 주문했어.,,저는 음식이 마음에 들지 않아서 다른 것을 주문했습니다.,나는 음식이 마음에 들지 않아서 다른 것을 주문했어.,나는 음식을 좋아하지 않았다 그래서 나는 다른 것을 주문했다.,Informal,"나는 내 음식을 맛보지 않았다, 그래서 나는 다른 것을 원했다.",Informal,"나는 음식을 좋아하지 않았고,나는 다른 것을 주문했다.",Informal,I didn't like my food so I ordered something else.,Compound,Conversational / Everyday Phrases,,Business ,50,,,
"Pojechaliśmy w góry, aby wędrować szlakiem.",우리는 등산을 하기 위해 산으로 차를 몰았다.,,우리는 등산을 하기 위해 산으로 차를 몰았습니다.,우리는 등산을 하기 위해 산으로 차를 몰았다.,우리는 산으로 가서 길을 걸어갔다.,Informal,우리는 산에 도착하여 길을 여행합니다.,Formal,우리는 길을 따라 산책하기 위해 산에 갔다.,Informal,We drove up to the mountains to hike a trail.,Simple,Conversational / Everyday Phrases,,Politics,50,,,
"Mam nadzieję, że wszystko będzie dobrze.",나는 모든 것이 잘될 것 같은 예감이 있어,,나는 모든 것이 잘될 것 같은 예감이 있습니다.,나는 모든 것이 잘될 것 같은 예감이 있어.,모든 것이 괜찮을 것 같아요.,Formal,모든 것이 잘 될 것이라고 생각합니다.,Formal,나는 모든 것이 잘되기를 바랍니다.,Formal,I have a feeling / hope everything will turn out okay.,Simple,Conversational / Everyday Phrases,,Health & Wellness,50,,,
"Chciałabym zjeść pizzę, ale nie mogę jeść glutenu.",나는 피자를 먹고 시은데 글루텐을 못 먹어. ,,나는 피자를 먹고 싶은데 글루텐을 못 먹습니다.,나는 피자를 먹고 시은데 글루텐을 못 먹어.,나는 피자를 먹고 싶지만 글루텐을 먹을 수는 없습니다.,Formal,맥주를 마시고 싶지만 글루텐을 먹을 수 없습니다.,Formal,나는 피자를 먹고 싶지만 글루텐을 먹을 수 없습니다.,Formal,"I would like to eat pizza, but I can't eat gluten.",Compound,Conversational / Everyday Phrases,,Travel,50,,,
"Lubię podróżować, ale nie lubię latać samolotem.",나는 여행을 좋아하는데 비행기 타는 것은 싫어 ,,나는 여행을 좋아하는데 비행기 타는 것은 싫어합니다.,나는 여행을 좋아하는데 비행기 타는 것은 싫어.,나는 여행을 좋아하지만 비행기를 타는 것을 좋아하지 않는다.,Informal,그녀는 여행하고 싶지만 항공기를 비행하지 않습니다.,Formal,나는 여행을 좋아하지만 비행기를 타는 것을 좋아하지 않습니다.,Formal,"I like to travel, but I don't like to fly by plane.",Compound,Conversational / Everyday Phrases,,Food & Cuisine,50,,,
"Dieta bogata w owoce, warzywa, białko i zdrowe tłuszcze może pomóc w utrzymaniu zdrowia serca i obniżeniu poziomu cholesterolu, co zmniejsza ryzyko chorób układu krążenia.","과일, 채소, 단백질 및 건강한 지방이 풍부한 식단은 심장 건강을 유지하고 콜레스테롤 수치를 낮추어 심혈관 질환의 위험을 줄이는 데 도움이 될 수 있다.","과일, 채소, 단백질, 그리고 건강한 지방이 풍부한 식단은 심장 건강을 유지하고 콜레스테롤 수치를 낮추어 심혈관 질환의 위험을 줄일 수 있다.","과일, 채소, 단백질, 그리고 건강한 지방이 풍부한 식단은 심장 건강을 유지하고 콜레스테롤 수치를 낮추어 심혈관 질환의 위험을 줄일 수 있습니다.","과일, 채소, 단백질, 그리고 건강한 지방이 풍부한 식단은 심장 건강을 유지하고 콜레스테롤 수치를 낮추어 심혈관 질환의 위험을 줄일 수 있다.","과일, 야채, 단백질 및 건강한 지방이 풍부한 식단은 심장 건강을 유지하고 콜레스테롤 수치를 낮추는 데 도움이 될 수 있으며, 이는 순환기 질환의 위험을 줄일 수 있습니다.",Formal,"과일, 야채, 백색 및 건강한 지방에서 부유한 규정식은 심장과 더 낮은 콜레스테롤 수준을 유지하고, 질병의 위험을 감소시키기 위하여 도울 수 있습니다.",Formal,"과일,채소,단백질 및 건강한 지방이 풍부한 식단은 심장 건강을 유지하고 콜레스테롤 수치를 낮추어 심혈관 질환의 위험을 줄이는 데 도움이 될 수 있습니다.",Formal,"A diet rich in fruits, vegetables, protein, and healthy fats can help maintain heart health and lower cholesterol levels, reducing the risk of cardiovascular diseases.",Compound Complex,Health & Wellness,ChatGPT,Science & Technology,50,,,
"Regularna praktyka jogi może poprawić elastyczność ciała, równowagę, koordynację, a także zmniejszyć stres i poprawić nastrój.","규칙적인 요가 연습은 신체 유연성, 균형, 조정력을 향상시킬 뿐만 아니라 스트레스를 줄이고 기분을 개선할 수 있다.","규칙적인 요가 연습은 신체의 유연성, 균형, 그리고 조정력을 향상시키는 것뿐만 아니라 스트레스를 줄이고 기분을 개선할 수 있다.","규칙적인 요가 연습은 신체의 유연성, 균형, 그리고 조정력을 향상시키는 것 뿐만 아니라 스트레스를 줄이고 기분을 개선할 수 있습니다.","규칙적인 요가 연습은 신체의 유연성, 균형, 그리고 조정력을 향상시키는 것 뿐만 아니라 스트레스를 줄이고 기분을 개선할 수 있다.","정기적인 요가 연습은 신체의 유연성, 균형, 조정, 스트레스를 줄이고 기분을 향상시킬 수 있습니다.",Formal,"정규적인 요가 연습은 몸 융통성, 균형, 조정을 개량하고, stres를 감소시키고 기분을 개량할 수 있습니다.",Formal,"정기적 인 요가 연습은 신체의 유연성,균형,조정을 향상시키고 스트레스를 줄이고 기분을 향상시킬 수 있습니다.",Formal,"Regular yoga practice can improve body flexibility, balance, coordination, as well as reduce stress and improve mood.",Compound Complex,Health & Wellness,ChatGPT,Education,50,,,
"Palenie papierosów zwiększa ryzyko wielu rodzajów raka, w tym raka płuc, krtani, gardła, pęcherza moczowego i trzustki, dlatego ważne jest, aby zrezygnować z palenia i unikać przebywania w miejscach, gdzie występuje dym papierosowy.","흡연은 많은 종류의 암중에 폐암, 후두암, 인후암, 방광암, 췌장암 등 위험을 증가시키므로 금연하고 담배 연기가 있는 장소에 가지 않는 것이 중요하다.",,"흡연은 많은 종류의 암중에 폐암, 후두암, 인후암, 방광암, 췌장암 등 위험을 증가시키므로 금연하고 담배 연기가 있는 장소에 가지 않는 것이 중요합니다.","흡연은 많은 종류의 암중에 폐암, 후두암, 인후암, 방광암, 췌장암 등 위험을 증가시키므로 금연하고 담배 연기가 있는 장소에 가지 않는 것이 중요하다.","담배를 피우는 것은 폐, 척추, 목구멍, 소변 및 갑상선 암을 포함한 여러 종류의 암의 위험을 증가시킵니다, 그래서 담배를 포기하고 담배 흡연이있는 장소에 머무르는 것을 피하는 것이 중요합니다.",Formal,"폐암, cryonics, 인후, 담배, 담배를 포함한 많은 유형의 암의 위험은 흡연을 포기하고 발생되는 장소에 살고 피하는 것이 중요합니다.",Formal,"담배를 피우는 것은 폐,후두,인후,방광 및 췌장암을 포함한 많은 유형의 암의 위험을 증가 시키므로 흡연을 포기하고 담배 연기가있는 곳에 머무르는 것을 피하는 것이 중요합니다.",Formal,"Smoking increases the risk of many types of cancer, including lung, larynx, throat, bladder, and pancreatic cancer, so it's important to quit smoking and avoid being in places where cigarette smoke is present.",Compound Complex,Health & Wellness,ChatGPT,,,,,
"Miałam wiele pracy do zrobienia, ale udało mi się skończyć wszystko na czas.",할 일이 많았지만 모든 것을 제 시간에 끝낼 수 있었다.,,할 일이 많았지만 모든 것을 제 시간에 끝낼 수 있습니다.,할 일이 많았지만 모든 것을 제 시간에 끝낼 수 있었다.,나는 할 일이 많았지만 시간에 모든 것을 완료 할 수있었습니다.,Formal,그녀는 많은 일자리를 가지고 있지만 모든 시간을 끝내는 관리했습니다.,Formal,나는 할 일이 많았지 만 모든 것을 제 시간에 끝낼 수있었습니다.,Formal,"I had a lot of work to do, but I managed to finish everything on time.",Compound,Conversational / Everyday Phrases,,,,,,"* include more complex sentences in the topics of politics, education, and science and technology, while reserving simpler sentences for conversational phrases and travel."
Regularne wykonywanie samobadania piersi oraz regularne badania mammograficzne to ważne czynniki w zapobieganiu raku piersi i szybkim wykryciu choroby w początkowym stadium,정기적인 유방 자가 검진 및 유방조영술 검사는 유방암을 예방하고 발병 초기에 질병을 발견하는 데 중요한 요소이다.,,정기적인 유방 자가 검진 및 유방조영술 검사는 유방암을 예방하고 발병 초기에 질병을 발견하는 데 중요한 요소입니다.,정기적인 유방 자가 검진 및 유방조영술 검사는 유방암을 예방하고 발병 초기에 질병을 발견하는 데 중요한 요소이다.,정기적 인 유방 검사 및 정기적 인 유방 검사는 유방암을 예방하고 초기 단계에서 질병을 신속하게 발견하는 데 중요한 요소입니다.,Formal,정기적으로 모유 수유 및 정기적인 mammographic 연구는 모유 암을 방지하고 mammographic 단계의 발달의 처음 단계에 있는 질병의 급속한 회복에 중요합니다.,Formal,정기적 인 유방자가 검사 및 정기적 인 유방 조영술 검사는 유방암 예방 및 초기 단계에서 질병의 적시 탐지에 중요한 요소입니다.,Formal,Regular breast self-examination and mammography screenings are important factors in preventing breast cancer and detecting the disease early in its development.,Compound Complex,Health & Wellness,ChatGPT,Sentence Structures:,,,,
"Zdrowa dieta, bogata w warzywa i owoce, może pomóc w zmniejszeniu ryzyka wielu rodzajów raka, w tym raka jelita grubego i trzustki.",야채와 과일이 많이 든 식사는 결장직장암과 췌장암 등 많은 종류의 암을 예방하는 데 도움이 돼.,,야채와 과일이 많이 든 식사는 결장직장암과 췌장암 등 많은 종류의 암을 예방하는 데 도움이 될 수 있습니다.,야채와 과일이 많이 든 식사는 결장직장암과 췌장암 등 많은 종류의 암을 예방하는 데 도움이 돼.,야채와 과일이 풍부한 건강한 식단은 대장 및 관절암을 포함한 여러 종류의 암의 위험을 줄이는 데 도움이 될 수 있습니다.,Formal,야채와 과일에 풍부한 다이어트는 두꺼운과 trzustka의 커널을 포함하여 많은 종류의 암의 위험을 줄일 수 있습니다.,Formal,야채와 과일이 풍부한 건강한 식단은 결장암과 췌장암을 포함한 많은 유형의 암 위험을 줄이는 데 도움이 될 수 있습니다.,Formal,"A healthy diet rich in vegetables and fruits can help reduce the risk of many types of cancer, including colorectal and pancreatic cancer.",Compound Complex,Health & Wellness,ChatGPT,Simple sentences: 50,,,,
"Właśnie skończyłem pisać esej, ale muszę jeszcze poprawić kilka błędów, zanim oddam go do oceny.","내 에세이 쓰는 거 끝났어, 그런데 채점하려면 몇 개 오류 수정해야 돼.",,"내 에세이 쓰는 거 끝났어, 그런데 채점하려면 몇 개 오류 수정해야합니다.","내 에세이 쓰는 거 끝났어, 그런데 채점하려면 몇 개 오류 수정해야 돼.",나는 단지 에세이를 작성하기 시작했지만 평가하기 전에 몇 가지 오류를 수정해야합니다.,Formal,"그는 에세이를 쓸 수 있었지만, 그는 그가 평가 할 수 있기 전에 몇 가지 실수를 할 수 있었다.",Formal,"난 그냥 에세이를 작성 완료,하지만 난 여전히 평가를 위해 제출하기 전에 몇 가지 실수를 수정해야.",Informal,"I just finished writing my essay, but I still have to correct a few mistakes before I submit it for grading.",Compound Complex,Conversational / Everyday Phrases,ChatGPT,Compound sentences: 100,,,,
"Jeśli chcesz się nauczyć grać na pianinie, musisz kupić instrument, znaleźć nauczyciela i regularnie ćwiczyć.","피아노를 배우고 싶다면, 악기를 사고 선생님을 찾아 정기적으로 연습해야 해.",,"피아노를 배우고 싶다면, 악기를 사고 선생님을 찾아 정기적으로 연습해야 합니다.","피아노를 배우고 싶다면, 악기를 사고 선생님을 찾아 정기적으로 연습해야 해.","당신이 피아노를 배우고 싶다면, 당신은 도구를 구입하고, 교사를 찾고 정기적으로 연습해야합니다.",Formal,"피아노를 연주하려는 경우, 당신은 악기를 구입해야합니다, 교사를 찾아 정기적으로 학습.",Formal,"당신이 피아노를 배우고 싶은 경우에,당신은 악기를 구입 교사를 찾아 정기적으로 운동을해야합니다.",Formal,"If you want to learn to play the piano, you need to buy an instrument, find a teacher, and practice regularly.",Compound Complex,Conversational / Everyday Phrases,,Complex sentences: 100,,,,
Prezydentem Polski jest Andrzej Duda.,폴란드의 대통령은 Andrzej Duda이다.,,폴란드의 대통령은 Andrzej Duda입니다.,폴란드의 대통령은 Andrzej Duda이다.,폴란드의 대통령은 Andrzej Duda입니다.,Formal,폴란드 대통령은 Andrzej Duda입니다.,Formal,폴란드 대통령은 안제이 두다입니다.,Formal,The President of Poland is Andrzej Duda.,Simple,Politics,,Compound-complex sentences: 100,,,,
W Polsce odbyły się wybory parlamentarne w 2019 roku.,총선은 폴란드에서 2019에 있었다. ,,총선은 폴란드에서 2019에 있었습니다.,총선은 폴란드에서 2019에 있었다.,폴란드에서는 2019년 의회 선거가 열렸다.,Informal,폴란드에서 의회 선거는 2019 년에 개최되었습니다.,Formal,폴란드 의회 선거는 2019 년에 실시되었다.,Informal,Parliamentary elections took place in Poland in 2019.,Simple,Politics,,Interrogative sentences: 50,,,,
